sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,006;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@0];[1.0];[1.0];[1.0];[0.0];[1.0];[party1_utility.xml]
0,006;2;;60rounds;Yes;No;1;0,88583;0,88583;0,11417;0,11417;0,88583;[RandomBidderExample@1];[0.8858333333333334];[0.8858333333333334];[0.8858333333333334];[0.0];[0.8858333333333334];[party1_utility.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@2];[1.0];[1.0];[1.0];[0.0];[1.0];[party1_utility.xml]
0,005;2;;60rounds;Yes;No;1;0,93667;0,93667;0,06333;0,06333;0,93667;[RandomBidderExample@3];[0.9366666666666666];[0.9366666666666666];[0.9366666666666666];[0.0];[0.9366666666666666];[party1_utility.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@4];[1.0];[1.0];[1.0];[0.0];[1.0];[party1_utility.xml]
0,001;2;;60rounds;Yes;No;1;0,75000;0,75000;0,25000;0,25000;0,75000;[RandomBidderExample@5];[0.75];[0.75];[0.75];[0.0];[0.75];[party1_utility.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@6];[1.0];[1.0];[1.0];[0.0];[1.0];[party1_utility.xml]
0,001;2;;60rounds;Yes;No;1;0,63917;0,63917;0,36083;0,36083;0,63917;[RandomBidderExample@7];[0.6391666666666668];[0.6391666666666668];[0.6391666666666668];[0.0];[0.6391666666666668];[party1_utility.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@8];[1.0];[1.0];[1.0];[0.0];[1.0];[party1_utility.xml]
0,002;2;;60rounds;Yes;No;1;0,48250;0,48250;0,51750;0,51750;0,48250;[RandomBidderExample@9];[0.48250000000000004];[0.48250000000000004];[0.48250000000000004];[0.0];[0.48250000000000004];[party1_utility.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@10];[1.0];[1.0];[1.0];[0.0];[1.0];[party1_utility.xml]
0,003;2;;60rounds;Yes;No;1;0,59833;0,59833;0,40167;0,40167;0,59833;[RandomBidderExample@11];[0.5983333333333333];[0.5983333333333333];[0.5983333333333333];[0.0];[0.5983333333333333];[party1_utility.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@12];[1.0];[1.0];[1.0];[0.0];[1.0];[party1_utility.xml]
0,001;2;;60rounds;Yes;No;1;0,53333;0,53333;0,46667;0,46667;0,53333;[RandomBidderExample@13];[0.5333333333333333];[0.5333333333333333];[0.5333333333333333];[0.0];[0.5333333333333333];[party1_utility.xml]
