sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,071;61;;60rounds;No;No;1;0,00000;0,00000;1,03216;1,17788;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@0;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
0,047;61;;60rounds;No;No;1;0,00000;0,00000;1,03216;1,17788;0,00000;KLH@2;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
1,340;61;;60rounds;Yes;No;2;0,47198;0,97360;0,00000;0,44189;1,44557;NiceTitForTat@4;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@5;0.4719752863168878;0.9735964455533398;0.4719752863168878;0.9735964455533398;0.0;0.9735964455533398;0.0;0.0;0.4719752863168878;0.9735964455533398;party8_utility.xml;party9_utility.xml
0,045;61;;60rounds;No;No;1;0,00000;0,00000;1,03216;1,17788;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@6;KLH@7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
0,044;61;;60rounds;No;No;1;0,00000;0,00000;1,03216;1,17788;0,00000;KLH@8;KLH@9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
1,334;61;;60rounds;Yes;No;2;0,31986;0,96803;0,07206;0,58193;1,28789;NiceTitForTat@10;KLH@11;0.31985828083370677;0.9680310169079032;0.31985828083370677;0.9680310169079032;0.0;0.0;0.0;0.0;0.31985828083370677;0.9680310169079032;party8_utility.xml;party9_utility.xml
1,312;61;;60rounds;Yes;No;2;0,53714;0,95659;0,00000;0,26589;1,49373;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@12;NiceTitForTat@13;0.9565892377711768;0.5371373157711058;0.9565892377711768;0.5371373157711058;0.9565892377711768;0.0;0.0;0.0;0.9565892377711768;0.5371373157711058;party8_utility.xml;party9_utility.xml
1,323;61;;60rounds;Yes;No;2;0,35003;0,91389;0,05396;0,44161;1,26392;KLH@14;NiceTitForTat@15;0.9138945202194094;0.3500288190854182;0.9138945202194094;0.3500288190854182;0.0;0.0;0.0;0.0;0.9138945202194094;0.3500288190854182;party8_utility.xml;party9_utility.xml
1,125;21;;60rounds;Yes;No;2;0,78701;0,83515;0,00000;0,09795;1,62216;NiceTitForTat@16;NiceTitForTat@17;0.7870101331540534;0.8351543860187408;0.7870101331540534;0.8351543860187408;0.0;0.0;0.0;0.0;0.7870101331540534;0.8351543860187408;party8_utility.xml;party9_utility.xml
0,040;61;;60rounds;No;No;1;0,00000;0,00000;1,41421;1,41421;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@18;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-F..EclipseWorkspace.assignment3.target.classes.AC_BOAninho-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.NTFTstrategy@19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party7_utility.xml;party9_utility.xml
